Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Silver gilt ring,Archaic,late 6th–early 5th century B.C.,Etruscan,Gold silver,length of bezel  5/8 in. (1.6 cm),Gold and Silver,Purchase Mr. and Mrs. Martin Fried Gift 1995,1995.4
Terracotta loutrophoros (ceremonial vase for water),Late Classical,3rd quarter of the 4th century B.C.,Greek South Italian Apulian,Terracotta; red-figure,NULL-DIMENSIONS,Vases,Purchase The Bernard and Audrey Aronson Charitable Trust Gift in memory of her beloved husband Bernard Aronson 1995,1995.45.1
Terracotta loutrophoros (ceremonial vase for water),Late Classical,3rd quarter of the 4th century B.C.,Greek South Italian Apulian,Terracotta; red-figure,NULL-DIMENSIONS,Vases,Purchase The Bernard and Audrey Aronson Charitable Trust Gift in memory of her beloved husband Bernard Aronson 1995,1995.45.2
Terracotta box of a pyxis,Early Cycladic I,ca. 3200–2800 B.C.,Cycladic,Terracotta,Diam.: 4 7/16 in. (11.2 cm),Vases,Purchase Claude Claire Grenier Gift 1995,1995.497
Pair of terracotta volute-kraters (vases for mixing wine and water) with stands,Late Classical,3rd quarter of the 4th century B.C.,Greek South Italian Apulian,Terracotta; black-glaze,NULL-DIMENSIONS,Vases,The Bothmer Purchase Fund 1995,1995.53.1
Pair of terracotta volute-kraters (vases for mixing wine and water) with stands,Late Classical,3rd quarter of the 4th century B.C.,Greek South Italian Apulian,Terracotta; black-glaze,NULL-DIMENSIONS,Vases,The Bothmer Purchase Fund 1995,1995.53.2
Gold ring with a carnelian intaglio,Hellenistic,3rd century B.C.,Greek,Gold with carnelian,Overall: 1 1/8 x 3/4 x 1/2in. (2.9 x 1.9 x 1.3cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.1
Pair of gold earrings with dolphins' heads with emerald glass and gold beads,Hellenistic,2nd–1st century B.C.,Greek,Gold emerald and banded glass,NULL-DIMENSIONS,Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.10a b
Pair of gold earrings with an Egyptian Atef crown set with stones and glass,Hellenistic,3rd–2nd century B.C.,Greek,Gold with stone and glass,Overall: 5/8 x 2 3/4 in. (1.6 x 7 cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.11a b
Gold ring with a carnelian or glass intaglio,Mid or Late Imperial,2nd–3rd century A.D.,Roman,Gold,diameter  1 1/4in. (3.2cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.12
Gold bracelet with a carnelian stone,Mid or Late Imperial,3rd century A.D.,Roman,Gold and carnelian,diameter  2 1/2in. (6.4cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.13
Silver statuette of Venus,Early or Mid Imperial,1st–2nd century A.D.,Roman,Silver,Overall: 6 7/8 x 2in. (17.5 x 5.1cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.14
Gold ring with a carnelian scaraboid gem,Archaic,late 6th century B.C.,Greek,Gold with carnelian,length of stone  3/4 in. (1.9 cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.2
Two silver roundels,Classical,5th century B.C.,Greek,Silver,diameter of b  1 9/16 in. (4 cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.3a b
Bronze statuette of a sphinx,Classical,5th century B.C.,Greek,Bronze,Overall: 1 3/8 x 3/4 x 3/8in. (3.5 x 1.9 x 1cm),Bronzes,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.4
Silver statuette of a sphinx with gilding,Classical,5th century B.C.,Greek,Silver with gilding,Overall: 1 1/4 x 3/4in. (3.2 x 1.9cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.5
Gold earring with a sphinx,Late Classical or Hellenistic,4th–3rd century B.C.,Greek,Gold,Overall: 2 3/4 x 1 3/16in. (7 x 3cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.6
Gold fillet with a Herakles knot,Hellenistic,late 4th–3rd century B.C.,Greek,Gold,length  17in. (43.2cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.7
Pair of gold earrings with Erotes,Hellenistic,late 4th–3rd century B.C.,Greek,Gold,width of b  15/16 in. (2.4 cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.8a b
Pair of gold hoop earrings with Erotes riding doves,Hellenistic,3rd century B.C.,Greek,Gold,Overall: 1 1/2 x 1 1/8 x 3/8in. (3.8 x 2.9 x 1cm),Gold and Silver,Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,1995.539.9a b
Fragment of a terracotta kylix joins 1979.11.9,Late Archaic,ca. 490 B.C.,Greek Attic,Terracotta; red-figure,NULL-DIMENSIONS,Vases,Gift of Dietrich von Bothmer 1995,1995.54
Marble vase with high foot and four lug handles,Early Cycladic I,ca. 2800–2700 B.C.,Cycladic,Marble,diameter  7 in. (17.8 cm),Miscellaneous-Stone Vases,Bequest of Gordon and Nina Bunshaft 1995,1995.604
Pair of spherical gold earrings,Archaic or Classical,6th–5th century B.C.,Greek,Gold enamel,Other: 1 9/16 in. (4 cm),Gold and Silver,Rogers Fund 1995,1995.60a b
Stone bowl,Late Republican or Early Imperial,1st century B.C.–1st century A.D.,Roman,Granite,maximum diameter  4 7/8in. (12.4cm),Miscellaneous-Stone,Gift of the Aboutaam Family 1995,1995.83
Pendant: monkey,Archaic,7th century B.C.,Etruscan,Amber,H. 1 in. (2.5 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Robert Haber 1995,1995.84
Gold ring with cameo glass portrait of the Emperor Augustus,Early Imperial Augustan or Julio-Claudian,1st half of 1st century A.D.,Roman,Gold with glass,Overall: 3/4 x 5/8 x 1in. (1.9 x 1.6 x 2.5cm),Gold and Silver,Gift of Robert Haber and The Artemis Group 1995,1995.85.1
Gold finger ring with glass intaglio: a lioness,Hellenistic or Early Imperial,1st century B.C.–1st century A.D.,Roman,Gold with glass,Other: 7/8 × 3/4 × 7/16 in. (2.2 × 1.9 × 1.1 cm),Gold and Silver,Gift of Robert Haber and The Artemis Group 1995,1995.85.2
Five gold earrings with spherical elements,Late Republic or Early Imperial,1st century B.C.–1st century A.D.,Roman,Gold,NULL-DIMENSIONS,Gold and Silver,Gift of Robert Haber and The Artemis Group 1995,1995.85.3–.7
Two gold belt attachments,Late Republic or Early Imperial,1st century B.C.–1st century A.D.,Roman,Gold,NULL-DIMENSIONS,Gold and Silver,Gift of Robert Haber and the Artemis Group 1995,1995.85.42 .43
Thirty-four gold dress ornaments,Late Republic or Early Imperial,1st century B.C.–1st century A.D.,Roman,Gold,NULL-DIMENSIONS,Gold and Silver,Gift of Robert Haber and The Artemis Group 1995,1995.85.8–.41
Bowl fragment,Early Imperial Augustan,end of 1st century B.C.–beginning of 1st century A.D.,Roman,Glass; cast in a two-part mold,Overall: 2 3/16 x 1 1/4in. (5.6 x 3.2cm),Glass,Gift of Nicolas Koutoulakis 1995,1995.86
Bronze hydria (water jar),Archaic,late 7th–early 6th century B.C.,Greek,Bronze,NULL-DIMENSIONS,Bronzes,Purchase David L. Klein Jr. Memorial Foundation Inc. The Joseph Rosen Foundation Inc. and Nicholas S. Zoullas Gifts 1995,1995.92
Bronze statuette of a woman,Archaic,mid-6th century B.C.,Greek,Bronze,H. 3 1/8 in. (7.9 cm),Bronzes,Gift of Jean-Louis Domercq 1995,1995.94
Limestone column capital,Late Classical,late 4th–3rd century B.C.,Greek South Italian Tarentine,Limestone,7 1/8 x 13 in.  (18.1 x 33.0 cm),Stone Sculpture,Gift of the Aboutaam Family 1995,1995.95
Fragment of a limestone relief with enthroned couple,Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian Tarentine,Limestone,Overall: 13 x 14 1/4 x 3 3/4in. (33 x 36.2 x 9.5cm),Stone Sculpture,Rogers Fund 1996,1996.151.1
Fragment of a limestone relief with standing figure,Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian Tarentine,Limestone,Overall: 10 1/2 x 6 1/2 x 3 3/8in. (26.7 x 16.5 x 8.6cm),Stone Sculpture,Rogers Fund 1996,1996.151.2
Faience double-spouted vessel in the form of a kneeling woman holding a jar,Archaic,late 7th–early 6th century B.C.,East Greek,Faience,diameter  2 1/8in. (5.4cm),Miscellaneous-Faience,Purchase Malcolm H. Wiener Gift and Anonymous Gift 1996,1996.164
Marble head of Athena,Hellenistic,ca. 200 B.C.,Greek,Marble,H. 19 in. (48.26 cm),Stone Sculpture,Purchase Lila Acheson Wallace Gift 1996,1996.178
Marble funerary relief tablet with inscription,NULL-PERIOD,ca. A.D. 100 or later,Roman or later,Marble,Other: 3 1/4in. (8.3cm),Stone Sculpture,Purchase Gift of Michael Finkelstein and Sue-ann Friedman 1996,1996.228
Fragments of a terracotta kylix (drinking cup),Archaic,ca. 520 B.C.,Greek Attic,Terracotta; bilingual,NULL-DIMENSIONS,Vases,Gift of Dietrich von Bothmer 1996,1996.232a d
Pair of bronze bracelets,Geometric,8th century B.C.,Greek,Bronze,thickness (2)  3/16in. (0.4cm),Bronzes,Purchase Friends of the Benaki Museum Gift and Rogers Fund 1996,1996.247.1 .2
Silver-gilt and iron pectoral,Classical,4th century B.C.,Greek,Silver-gilt iron,circumference  9 1/2in. (24.1cm),Gold and Silver,Purchase Sarah Campbell Blaffer Foundation Gift 1996,1996.248
Terracotta kylix (drinking cup),Archaic,ca. 520–510 B.C.,Greek Attic,Terracotta; bilingual,NULL-DIMENSIONS,Vases,Gift of Mr. and Mrs. Jonathan P. Rosen 1996,1996.249a–o
Corinthian column capital,Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian Tarentine,Limestone,diameter  9in. (22.9cm),Stone Sculpture,Purchase Alexander and Helene Abraham Gift 1996,1996.26
Fragment of a limestone relief with two standing figures,Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian Tarentine,Limestone,Overall: 13 x 17 3/4 x 3 1/4 in. (33 x 45.1 x 8.3 cm),Stone Sculpture,Purchase Mrs. Sandy Brue Gift 1996,1996.305
Marble palette,Early Cycladic I,ca. 3000–2800 B.C.,Cycladic,Marble,length  5 1/16in. (12.9cm),Miscellaneous-Stone,Rogers Fund 1996,1996.323
Marble portrait head of Antinoos,Late Hadrianic,ca. A.D. 130–138,Roman,Marble,Overall: 9 1/2 x 8 1/4 in. (24.1 x 21 cm),Stone Sculpture,Gift of Bronson Pinchot in recognition of his mother Rosina Asta Pinchot 1996,1996.401
Bronze statuette of a siren,Archaic,ca. 500 B.C.,South Italian or Etruscan,Bronze,Overall: 3 3/16 x 1 3/8 x 2 5/8 in. (8.1 x 3.5 x 6.7 cm),Bronzes,Purchase David L. Klein Jr. Memorial Foundation Inc. Gift and Rogers Fund 1996,1996.42
Silver oinochoe (pitcher),Archaic,6th century B.C.,East Greek,Silver,Overall: 4 3/8 x 2 1/2in. (11.1 x 6.4cm),Gold and Silver,Gift of Juliann S. Dykowski in honor of her parents Harold A. and H. Jean Seeley 1996,1996.52
Terracotta larnax (chest-shaped coffin),Late Minoan IIIB,mid-13th century B.C.,Minoan,Terracotta,H. of lid  9 1/2 in. (24.1 cm),Terracottas,Anonymous Gift in memory of Nicolas and Mireille Koutoulakis 1996,1996.521a b
Marble head of a man from a grave stele,Late Classical,ca. 325 B.C.,Greek Attic,Marble,H. 10 5/8 in. (27 cm),Stone Sculpture,Gift of  Mrs. Frederick M. Stafford 1996,1996.522
Two fragments of a terracotta column-krater join 1998.388a-eee,Archaic,6th century B.C.,Greek Attic,Terracotta; black-figure,H.:b.7 x 2 1/2 in. (17.8 x 6.4 cm),Vases,Gift of Mr. and Mrs. Jonathan P. Rosen 1996,1996.56a b
Marble fragment of a volute krater,Imperial,1st–2nd century A.D.,Roman,Marble,H. 11 1/4 in. (28.5 cm),Stone Sculpture,Purchase David L. Klein Jr. Memorial Foundation Inc. and Nicholas S. Zoullas Gifts 1997,1997.111
Terracotta appliqué,Late Classical,4th century B.C.,Greek South Italian Tarentine,Terracotta,H. 2 7/8 in. (7.3 cm); length 7 5/16 in. (18.5 cm),Terracottas,Purchase Abraham Foundation Gift 1997,1997.135
Group of terracotta appliqués,Archaic,ca. 500–475 B.C.,Etrusco-Campanian,Terracotta; mold-made,palmettes  1 3/4 in. (4.5 cm),Terracottas,Rogers Fund and funds from various donors 1997,1997.136.1–.11
Bronze rod tripod stand,Archaic,early 6th century B.C.,Greek,Bronze,Overall: 29 5/8 x 17 1/2 in. (75.2 x 44.5 cm),Bronzes,Gift of Mr. and Mrs. Klaus G. Perls 1997,1997.145.1
Terracotta antefix (roof tile),Archaic,late 6th century B.C.,Etruscan,Terracotta,6 3/4 x 11 7/8 in.  (17.09 x 30.2 cm),Terracottas,Gift of Mr. and Mrs. Klaus G. Perls 1997,1997.145.2a
Fragment of a terracotta antefix (roof tile),Archaic,late 6th century B.C.,Etruscan,Terracotta,6 3/4 x 11 7/8 in.  (17.09 x 30.2 cm),Terracottas,Gift of Mr. and Mrs. Klaus G. Perls 1997,1997.145.2b
Bronze plaque of Mithras slaying the bull,Mid-Imperial Antonine or Severan,mid-2nd–early 3rd century A.D.,Roman,Bronze,Overall: 14 x 11 5/8 x 1 3/4 in. (35.6 x 29.5 x 4.4 cm),Bronzes,Gift of Mr. and Mrs. Klaus G. Perls 1997,1997.145.3
Bronze oinochoe,Archaic,mid-6th century B.C.,Greek,Bronze,Overall: 13 9/16in. (34.4cm),Bronzes,PurchaseThe Bothmer Purchase Fund and Shelby White and Leon Levy Gift 1997,1997.158
Bronze statuette of Jupiter,Mid-Imperial,2nd half of 2nd century A.D.,Roman,Bronze,H. 11 9/16 in. (29.3 cm),Bronzes,Purchase The Charles Engelhard Foundation Gift and Rogers Fund 1997,1997.159
Sard intaglio portrait of a woman,Augustan,late 1st century B.C.,Roman,Brownish Sard,diameter  1 in. (2.5 cm),Gems,Purchase Charles Butt Gift 1997,1997.184
Bronze belt clasp,Geometric,7th century B.C.,Greek,bronze,Overall: 2 1/2 x 9 3/4 in. (6.4 x 24.8 cm),Bronzes,Purchase Moschalaidis Foundation Gift 1997,1997.213
Marble head of a man,Hellenistic,3rd century B.C.,Greek South Italian Tarentine,Marble (white with fairly large crystals probably from the Greek islands),H. 8 5/8 in. (21.9 cm),Stone Sculpture,Purchase Mrs. Martin Fried Gift and Arthur Darby Nock Bequest 1997,1997.24
Marble lid of a cinerary chest,Early Imperial,late 1st century A.D.,Roman,Marble,Overall: 6 5/8 x 19 1/2 x 16 1/4 in. (16.8 x 49.5 x 41.3 cm),Stone Sculpture,Purchase Michael Finkelstein and Sue-ann Friedman Gift1997,1997.271
Silver cosmetic vessel,Archaic,6th century B.C.,East Greek,Silver,width  15/16 in. (2.4cm),Gold and Silver,Rogers Fund 1997,1997.29.1
Silver cosmetic vessel,Archaic,6th century B.C.,East Greek,Silver,length  3 7/16in. (8.7cm),Gold and Silver,Rogers Fund 1997,1997.29.2a b
Marble statue of Dionysus,Imperial,1st–2nd century A.D.,Roman,Marble,Overall: 13 1/4 x 7 5/8 x 5 in. (33.7 x 19.4 x 12.7 cm),Stone Sculpture,Bequest of Adrienne Minassian 1994,1997.291
Faience fragment of a duck askos (flask with spout),Hellenistic,ca. 2nd century B.C.,Greek Ptolemaic,Faience,h. 1 9/16 in. (3.9 cm); w. 2 5/16 in. (5.8 cm),Miscellaneous-Faience,Gift of Frieda Tchacos 1997,1997.292
Terracotta dinos (mixing bowl),Transitional,ca. 630–615 B.C.,Greek Corinthian,Terracotta; black-figure,H. 7 1/4 in. (18.4 cm); diameter 12 in. (30.5 cm),Vases,The Bothmer Purchase Fund and Louis V. Bell Fund 1997,1997.36
Fragmentary terracotta column-krater (bowl for mixing wine and water),Archaic,ca. 560 B.C.,Greek Attic,Terracotta; black-figure,NULL-DIMENSIONS,Vases,Gift of Dietrich von Bothmer 1997 (1997.493),1997.388a–eee
Obol Miletus,Late Archaic,early 5th century B.C.,Greek,silver,Overall: 3/8 x 1/8 in. (1 x 0.3 cm 1.2g),Coins,Gift of Carlos A. Picón 1997,1997.492.1
Silver drachm of Zoilos I,Hellenistic,ca. 130–120 B.C.,Greek Bactrian,Silver,NULL-DIMENSIONS,Coins,Gift of Carlos A. Picón 1997,1997.492.2
Fragment of a terracotta column-krater joins 1997.388a-eee,Archaic,ca. 560–540 B.C.,Greek Attic,Terracotta; black-figure,NULL-DIMENSIONS,Vases,Gift of Dietrich von Bothmer 1997,1997.493
Marble pestle,Early Cycladic II,ca. 2700–2200 B.C.,Cycladic,Marble,Other: 2 x 1 1/4 in. (5.1 x 3.2 cm),Miscellaneous-Stone,Rogers Fund 1997,1997.7
Bronze object in the shape of a horn,Imperial,1st–2nd century A.D.,Roman,Bronze inlaid with silver niello and copper,9 x 3 9/16 x 2 7/8 in.  (22.9 x 9 x 7.3 cm),Bronzes,Rogers Fund 1998,1998.11
Marble bust of a bearded man,Mid-Imperial Antonine,ca. A.D. 150–175,Roman,Marble,H. 22 in. (55.9 cm),Stone Sculpture,Rogers Fund 1998,1998.209
Pair of terracotta plaques with glass inlays,Hellenistic,late 4th century B.C.,Greek South Italian,Terracotta glass,length  5 11/16in. (14.5cm),Terracottas,Purchase Sandra Brue Gift 1998,1998.210.1 .2
Gold diadem,Hellenistic,3rd century B.C.,Greek South Italian or Etruscan,Gold,length  13 in. (33 cm),Gold and Silver,Purchase Malcolm Wiener Gift 1998,1998.216
Bronze bracelet,Geometric,7th century B.C.,Greek,bronze,diameter  5 1/8 in. (13 cm),Bronzes,Purchase Moses Fried Foundation Gift 1998,1998.25
Bronze handle of a bowl or basin,Classical,5th century B.C. or later,Greek,bronze,length  6 1/8 in. (15.6 cm),Bronzes,Purchase Sarah Campbell Blaffer Foundation Gift 1998,1998.26
Glass fragmentary bottle,Late Imperial,ca. 4th century A.D.,Roman,Glass; blown and trailed,Diameter: 3 3/8 in. (8.5 cm),Glass,Gift of Robert L. Hermanos 1998,1998.377
Wood roundel with a bust of Dionysos,Hellenistic,2nd century B.C.,Greek,Wood,H. 4 3/8 in. (11.1 cm); width  2 5/8 in. (6.7 cm); thickness 1 1/2 in. (3.8 cm),Miscellaneous-Wood,Gift of Nanette B. Kelekian in memory of George M. A. Hanfmann 1998,1998.43
Gold pendant,Classical,4th century B.C.,Greek,Gold,Overall: 1 1/2 x 9/16in. (3.8 x 1.4cm),Gold and Silver,Purchase Mr. and Mrs. Christos G. Bastis Gift 1999,1999.12
Gold armband with Herakles knot,Hellenistic,3rd–2nd century B.C.,Greek,Gold inlaid with garnets emeralds and enamel,width  3 1/2in. (8.9cm),Gold and Silver,Purchase Mr. and Mrs. Christos G. Bastis Gift 1999,1999.209
Gold and enamel pendant with Mistress of Animals,Archaic,7th century B.C.,Greek,Gold,1 1/2 x 13/16 x 1/16 in.  (3.8 x 2.1 x 0.2 cm),Gold and Silver,Purchase Schultz Foundation and Abraham Foundation Gifts 1999,1999.221
Faience aryballos (perfume vase) in the form of a hedgehog,Archaic,ca. 550–500 B.C.,East Greek,Faience,4 3/8 x 3 1/4 x 7 in.  (11.1 x 8.3 x 17.8 cm),Miscellaneous-Faience,Marguerite and Frank A. Cosgrove Jr. Fund 1999,1999.254
Fibula,Geometric,8th century B.C.,Italic,Bronze,2 9/16 x 3 3/8 x 6 5/8 in.  (6.5 x 8.6 x 16.8 cm),Bronzes,Gift of Florence Perlow Shientag 1999,1999.268a b
Limestone relief with the figure of a woman,Hellenistic,late 4th–early 3rd century B.C.,Greek Tarentine,Limestone,Overall: 12 1/2 x 9 7/8 x 3 5/8in. (31.8 x 25.1 x 9.2cm),Stone Sculpture,Purchase Linda Heller Kamm Gift 1999,1999.281
Plaque,NULL-PERIOD,6th–4th century B.C.,Egyptian,Terracotta,1 13/16 x 13/16 x 1/8 in.  (4.6 x 2.1 x 0.3 cm),Terracottas,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.1
Pair of gold earrings with pendant Erotes,Hellenistic,3rd–1st century B.C.,Greek,Gold,b: 1 3/4 x 3/8 in.  (4.4 x 1 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.10a b
Pair of gold and glass earrings with baby Herakles,Hellenistic,2nd–1st century B.C.,Greek,Gold and glass,b: 15/16 x 1/4 in.  (2.4 x 0.6 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.11a b
Plaque,NULL-PERIOD,6th–4th century B.C.,Egyptian,Terracotta,1 3/4 x 3/4 x 1/8 in.  (4.4 x 1.9 x 0.3 cm),Terracottas,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.2
Three gold appliqués,Classical,5th–4th century B.C.,Greek,Gold,3/4 x 1/2 in.  (1.9 x 1.3 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.3
Dress ornament decorated with a palmette,Classical,5th–4th century B.C.,Greek,Gold,11/16 x 1/2 in.  (1.7 x 1.3 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.4
Appliqué in the form of a head,Classical,5th–4th century B.C.,Greek,Gold,7/8 x 7/8 in.  (2.2 x 2.2 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.5
Pair of gold earrings with four relief faces,Hellenistic,late 4th–3rd century B.C.,Phoenician,Gold,Overall: 1 3/8 x 1/4in. (3.5 x 0.6cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.6a b
Gold earring in the form of a winged figure,Hellenistic,3rd–2nd century B.C.,Greek,Gold,Overall: 1/2 x 1/2in. (1.3 x 1.3cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.7
Gold earring in the form of a bearded satyr or triton,Hellenistic,3rd–2nd century B.C.,Greek,Gold,Overall: 1 x 5/16in. (2.5 x 0.8cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.8
Gold amphoriskos (oil flask) with inlaid garnets,Hellenistic,3rd century B.C.,Greek,Gold and garnet,H. 2 5/16 in. (5.9 cm); diameter 1 in. (2.5 cm),Gold and Silver,Gift of Mr. and Mrs. Stephen Kellen 1999,1999.289.9
Terracotta amphora (jar),Archaic,ca. 540 B.C.,Greek Attic,Terracotta; black-figure,H. 10 3/8 in. (26.4 cm),Vases,Gift of Mr. and Mrs. Christos G. Bastis in honor of Carlos A. Picón 1999,1999.30a b
